19.4,104,132.2,3,8,1,,0,1
12.1,147,123.1,2.9,8,1,,0,1
9.9,57,184.6,3.4,8,1,,0,1
6.7,43,227.8,3.6,8,1,,0,1
7.4,27,184.2,4.5,8,1,,0,1
8.8,91,188.6,3.1,8,1,,0,1
14.8,123,191.9,4.5,8,1,,0,1
19.9,74.5,215.9,3.8,8,1,,0,1
22.1,51,152.5,3.8,8,1,,0,1
27.4,33,202.1,4.2,8,1,,0,1
26.7,63.5,101.8,3.4,8,1,,0,1
23.3,203,123.7,3.5,8,1,,0,1
17.5,454,94.4,3.4,8,1,,0,1
13.1,68.5,164.5,3,8,1,,0,1
7.8,18.5,206.7,3.4,8,1,,0,1
5.6,60,208.9,3.7,5,1,,0,1
5.8,18,168,3.2,8,1,,0,1
11.9,188.5,198.8,4.1,8,1,,0,1
17.2,76.5,195.6,4.8,8,1,,0,1
20,192,194.2,4.4,8,1,,0,1
22.5,156.5,163.5,4.1,8,1,,0,1
28.2,83,238.2,5,8,1,,0,1
28.1,58.5,231.1,4.7,8,1,,0,1
23.5,285,93,4.1,8,1,,0,1
19.7,65.5,141.5,3.4,8,1,,0,1
14.6,34,147.6,2.6,8,1,,0,1
8.9,43.5,139.8,2.8,8,1,,0,1
6.3,20,223.7,3.4,8,1,,0,1
7.6,58.5,119.4,3.1,8,1,,0,1
10.9,107.5,172,3.7,8,1,,0,1
13.8,87,192.4,4,8,1,,0,1
20,114.5,218.6,4.1,8,1,,0,1
22,187,132.8,3.8,8,1,,0,1
24.3,200,91.4,3.6,8,1,,0,1
28.5,59.5,200.1,4.6,8,1,,0,1
25.2,169.5,155,3.5,8,1,,0,1
20.1,441,111.3,3.8,8,1,,0,1
14,158.5,166.2,3.1,8,1,,0,1
9.4,94,129.9,2.8,8,1,,0,1
7.7,158,140.6,2.8,8,1,,0,1
8.9,35.5,194.6,3.4,8,1,,0,1
11.2,134.5,173.6,4.1,8,1,,0,1
13.4,221,202.3,4.2,8,1,,0,1
19.7,109,170,4,8,1,,0,1
23.4,224,130.4,3.8,8,1,,0,1
24.7,394,61.4,5.1,8,1,,0,1
29,54,277.1,3.5,8,1,,0,1
24.7,229,112.7,3.8,8,1,,0,1
18,197,107.8,2.8,8,1,,0,1
14.7,15.5,150.1,3,8,1,,0,1
8.5,20,159.8,2.7,8,1,,0,1
6,41,182.4,3,8,1,,0,1
9.2,60.5,218.9,4.1,8,1,,0,1
13.2,129.5,174,3.9,8,1,,0,1
15.3,115.5,223.7,4.3,8,1,,0,1
20,110,155.3,4.7,8,1,,0,1
22.9,28,101.3,3.8,4,1,,0,1
