12.2,3.2,35.6,24.5,28.5
9.5,2.7,33.7,23.4,27.9
6.9,3,33.8,25.8,29.1
0,3,28.1,23.7,25.4
0,4.6,26.8,24,25.1
11.5,2.7,31.8,24.2,27.5
3.9,3.1,31.3,24.1,26.7
0.5,2.6,30.4,22.4,25.5
5.5,2.6,30.6,22.4,25.9
8.6,3.7,32,24.9,27.8
1.1,3.7,29.1,24.7,26.1
2.6,3.2,31.3,24.5,27
4.3,4.3,33.3,26.5,28.9
9.9,5.1,33.6,26.8,29.5
4.8,3.4,32,26.3,28.5
4,3.5,31.2,25.7,27.9
8.4,3.1,32.8,25.2,27.9
8.1,2.8,32.6,24.6,27.9
2.5,2.5,31.3,24.9,27.4
5.3,2.9,31.9,25.4,28.4
1.6,3.2,30.6,25.7,27.5
0.1,2.5,27.4,22.3,24.9
2,3,27.8,23.1,25
0.9,3,27.7,23.2,25.5
9.4,4,30.3,24.6,27.4
0.1,1.8,28.5,23.4,25.7
10.7,2.8,31.3,22.6,26.3
8.7,4.2,32.2,21.6,27
4.2,5.1,32.7,26,28.5
8.4,6.9,32.9,26.2,28.8
10.7,8,32,27.2,28.9
11,5.5,31.7,26.4,28.4
11.1,4.3,31.2,25.9,28.2
12.5,0,32,25.9,28.6
9.9,6.1,32.3,27,29.1
12.7,6,32.2,26.7,29
10.6,3.8,35.5,26.8,29.9
12.2,2.4,37.4,26.4,30.1
9.1,3.8,32.1,25.7,28.5
6,3.7,32.8,26.3,28.9
10.6,4.9,33.2,27,29.6
12.6,5.3,33,27.4,29.9
9.7,3.9,36.2,28,30.7
6.4,3.9,35.7,25.5,30.4
0,4,27.6,23.9,25.2
9.8,4,31.2,23.7,27.8
7.8,3.4,35.8,27.1,29.9
10.3,5.5,34.1,26.6,29.6
11.9,8,33.7,25.6,29.9
2.9,2.9,30.1,23.1,25.7
3.5,2.7,31.3,24.2,26.7
5.5,2.8,33.8,24.4,27.9
8.4,3.3,33.8,25.5,28.6
7.7,4.6,33.5,26,28.7
5.1,5.2,33.8,24.3,28.5
0,3.6,27,23,24.7
0,3.3,27.8,22.6,24.4
1.6,3.6,31.1,22.3,25.5
5.7,3,31.1,23,26.9
7.2,4,31.1,24.8,28
8.2,5,34,26.9,29.8
8.3,4.4,35.3,27.7,30
0,2.9,29.2,26.4,27.9
8.9,3,34.6,25.2,29.5
11.7,4.6,33,27.4,29.7
11,4.1,34.7,27.5,30.1
4.3,4.1,33.4,25.2,28.6
0.5,3.2,29.7,24.2,26.6
4.5,2.7,32.1,25.4,27.9
4.8,3.5,33.2,24.6,27.7
8.4,4.8,32.3,26.5,28.9
8,6.3,33.9,27.9,29.9
12,5.9,34.7,28.1,30.4
4.5,4.5,34.7,24.2,28.3
0,4.4,24.3,21,22.3
7.2,3.1,29.9,20.4,24.6
7.6,4.6,33.2,24.8,28.2
6.3,2.9,33,22.2,27.2
6.8,3.3,31.5,20.6,24.9
4.2,4.6,26.2,19.7,22.2
0,2.9,24.8,20.2,22.4
0,3,28.4,21.4,25.2
0,3.6,27.1,23.1,24.6
0.1,4,25.3,21,22.9
1.7,3.2,29.5,20.7,24.1
2.5,3.6,31,22.5,26
1.9,2.8,30.3,23.4,26
2.5,0,29.9,22.7,26
2.9,0,29.7,23.4,25.5
2.8,3.3,28,20.8,23.4
2.2,2.6,28,21,24.3
3.6,3.3,30.4,22.9,25.8
0.5,4.5,28.3,22.4,24.4
1.2,3,30.6,23.4,26.3
0.1,2.4,29,24.5,26.5
7.1,5,32.4,25.3,28.4
3.6,3.2,31.7,24.6,27.2
0.2,2.9,31.9,24.2,27.3
0,3.9,28,25,26.7
2.2,4.5,28.1,23.3,25.7
6,3.3,29.7,22.2,25
8.1,3,31.2,23.2,28.1
2.7,3.3,29.7,24,27.4
12.4,3.3,31.7,22.7,26
10.2,3.2,32.6,22.5,26.6
5.1,3.7,29.9,23.2,25.8
7.4,3.6,30.3,22.9,26.1
3.4,2.8,30.1,23.7,26.4
9.3,3.6,30.2,23.9,26.6
2.1,5.5,31.1,25.2,28
3.4,3.3,31.4,24.9,28.4
4.9,3.2,31.2,23.5,26.6
3.8,2.9,29.7,22.9,25.1
6.3,3.5,28.9,21.9,24.2
6.9,3.5,28,21.6,24
4.9,2.9,29,20.2,24.5
11.2,3.6,30,23.1,26.5
10.9,3.9,32.5,24.9,27.8
0,5.7,26.2,19.2,22.2
0,7.5,20.5,17.7,19
